,example_id,predicted_label,real_label,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,False
1,dev-data/mutual/dev/dev_10.txt,A,C,False
2,dev-data/mutual/dev/dev_100.txt,A,C,False
3,dev-data/mutual/dev/dev_101.txt,D,D,True
4,dev-data/mutual/dev/dev_102.txt,A,A,True
5,dev-data/mutual/dev/dev_103.txt,C,D,False
6,dev-data/mutual/dev/dev_104.txt,A,D,False
7,dev-data/mutual/dev/dev_105.txt,D,D,True
8,dev-data/mutual/dev/dev_106.txt,A,C,False
9,dev-data/mutual/dev/dev_107.txt,D,B,False
10,dev-data/mutual/dev/dev_108.txt,D,A,False
11,dev-data/mutual/dev/dev_109.txt,C,D,False
12,dev-data/mutual/dev/dev_11.txt,B,A,False
13,dev-data/mutual/dev/dev_110.txt,D,A,False
14,dev-data/mutual/dev/dev_111.txt,B,D,False
15,dev-data/mutual/dev/dev_112.txt,C,B,False
16,dev-data/mutual/dev/dev_113.txt,B,A,False
17,dev-data/mutual/dev/dev_114.txt,D,B,False
18,dev-data/mutual/dev/dev_115.txt,A,D,False
19,dev-data/mutual/dev/dev_116.txt,B,B,True
20,dev-data/mutual/dev/dev_117.txt,B,D,False
21,dev-data/mutual/dev/dev_118.txt,C,C,True
22,dev-data/mutual/dev/dev_119.txt,A,A,True
23,dev-data/mutual/dev/dev_12.txt,D,A,False
24,dev-data/mutual/dev/dev_120.txt,D,A,False
25,dev-data/mutual/dev/dev_121.txt,C,C,True
26,dev-data/mutual/dev/dev_122.txt,D,C,False
27,dev-data/mutual/dev/dev_123.txt,A,B,False
28,dev-data/mutual/dev/dev_124.txt,C,A,False
29,dev-data/mutual/dev/dev_125.txt,B,D,False
30,dev-data/mutual/dev/dev_126.txt,B,A,False
31,dev-data/mutual/dev/dev_127.txt,B,A,False
32,dev-data/mutual/dev/dev_128.txt,D,B,False
33,dev-data/mutual/dev/dev_129.txt,A,C,False
34,dev-data/mutual/dev/dev_13.txt,D,D,True
35,dev-data/mutual/dev/dev_130.txt,D,B,False
36,dev-data/mutual/dev/dev_131.txt,D,A,False
37,dev-data/mutual/dev/dev_132.txt,D,A,False
38,dev-data/mutual/dev/dev_133.txt,C,D,False
39,dev-data/mutual/dev/dev_134.txt,D,D,True
40,dev-data/mutual/dev/dev_135.txt,A,D,False
41,dev-data/mutual/dev/dev_136.txt,B,B,True
42,dev-data/mutual/dev/dev_137.txt,C,B,False
43,dev-data/mutual/dev/dev_138.txt,D,D,True
44,dev-data/mutual/dev/dev_139.txt,D,D,True
45,dev-data/mutual/dev/dev_14.txt,A,C,False
46,dev-data/mutual/dev/dev_140.txt,D,C,False
